0,A good modern translation of the Bible. Its style is acceptable and should appeal to readers familiar with older versions.
1,"While it is a very thought provoking subject, with interesting points of view, I kept vascillating between believing and disbelieving the characters..."
0,I purchased this laser site for my AR15. The first thing I noticed was it's large size and weight almost as big as a cigar. That ment double mounts twice as many to loosen up from the recoil. I was impressed with the strength of the laser and the distance. It was still visable at around 50yds on a somewhat bright day. But unfortunately after 5 30rd clips the clamps loosened up. I took it home and retightened the clamps using a dab of locktight this time. The aluminum threads were already showing the ware and getting harder to tighten. After another 150rds it fell completely off the gun and has not worked since could be the batteries but the mounts are definitely shot. I just purchased and recieved one half the size and weight for half the price. Shorter visability but still good at 25yds and short enough to even mount tightly on my Sig P250 45cal. I'll write a review on that one after I've fired a few hundred rounds.
0,"Stay away from this album.  The band is in a constant state of flux, the lead singer DJ's on the weekends at some low level bar in Newark.  The band members leave on a regular basis.  Save your money and download the free music off the net."
1,I had the stainless steel one first.  This one is far better does not get slimy like the first one. I clean it once a week and have no complaints about it.
0,"Robert Englund, a man most of us know as Freddy Kruger, directs the Horror/Comedy entitled ""Killer Pad"". Englund does an ok job having fun with the genre and the script by Dan Stoller has about one real laugh, everything else is just silly one liners and lame fart jokes that we could easily have found on Nickelodeon. There are some amusing side characters played namely by Joey Lawrence, H&eacute;ctor Jim&eacute;nez and Andy Milonakis but they aren't big enough stars to really drive the picture home. The one really humorous part in the entire movie is when Joey Lawrence does his impression of Bruce Willis, it really is almost uncanny. To get to the plot of the movie, three friends buy a huge house in the Hollywood Hill's, the only problem is the devil lives in the basement. The friends decide to throw a house warming party, but since the devil lives in the basement people at the party start dieing and things start going terribly wrong. In premise this sounds like there should be a lot of fun involved, and ""Killer Pad"" is at times a pretty amusing ride but not very much at all sticks or is worth watching again. Watching this movie again would be a fate far worse then death. This being said I did semi enjoy myself, for about five minutes, when the end credits started rolling. One aspect that really detracts from the overall enjoyment of the movie is the stupidity of the all the characters. Dan Stoller made the three main characters so stupid and idiotic that it's almost unbearable to watch. There is Boss battle against Satan at the end of the movie to the sounds of KISS but it's really anti-climactic and just frustrates me even more. I expected more from Robert Englund who is so seasoned in the genre, and although he does do an ok job of directing his actors, because the acting wasn't terrible, the question I find myself asking is why on earth Englund would have agreed to have anything to do with this movie. The real flaws are in Stoller's script, in which he keeps giving the same jokes over and over. I expected more from Daniel Franzese, who in this played Doug, one of the idiotic poorly written leads. It's sad to see Daniel Franzese in such a horribly unfunny role when we've seen him so funny as Damien in Mean Girls. The other leads, played by Eric Jungmann and Shane McRae do what they can with such a poorly written script. Aside from the horrid script the next biggest problem is this movie does not deserve its ""R"" rating. If this movie was going to get an ""R"" rating anyway I expect more nudity, blood, gore, raunchy humor, or something to hold the ""R"" rating or even my complete attention, but instead we are left with a movie that barely should have earned a ""PG-13"". Mr. Englund I'm disappointed in you."
1,"From the first time I listened to this disc, I instantly had it stuck in my head.  Their heavy drums and bass give the music a rock feel while great lyrics and a synthesizer keep things original and fun, plus their music just sounds like something the coolest person you know would listen to.Black History Month is one of the best/catchiest songs I have ever heard.  I also love sexy results, but really every track is awesome and different!"
0,I used these in various plugs in Amsterdam and Ukraine and they worked great.  It's good to have more than one since you may lose one or have multiple devices to plug in at once.
0,"I absolutely LOVE this color, as do my girlfriends!It's the best neutral without being too pink, or too flesh toned. :)Staple of mine, always!!!"
0,"I enjoyed this book overall, especially the interplay between Ben and Vestara. However, I was very confused by the author's inability to disinguish between the Chevs and Chevins. This may seem pedantic, but the slavery issue was a major theme in the book. The author's inability to remember which species was oppressor or oppressed in the SAME paragraph was very frustrating. I know this is only the author's second venture into the SW universe, but either better research or better editting would have done wonders. That said, it was a good story on the whole; and I eagerly anticipate the next installment in the series."
1,"I don't care for musicals but this one will be a favorite of mine that I will watch time and time again.  I love the story behind it.  It does'nt matter what background we come from or what culture we are accustomed to, love and kindness for others have no boundaries."
1,"Although I've tried several times, I just cannot read this book.  Maybe it gets better if I try reading more, but I've found myself so bored that I just don't stick with reading this book beyond a few pages each try.  I'm a Christie fan and have loved her other books, but this one is so different...... the character just mopes about complaining and getting advice.  It is doubtful that I will complete this book beyond the 2 chapters I've pushed myself through."
1,"While tuning, this app took us an octave too high and our string broke. Better to use an electronic battery powered tuner."
0,Just happened upon these while surfing.  Took a chance.  Perfect fit and soft sexy fabric.  Love this bikini!  Shipping was fast and I'm totally satisfied.  I bought two more so I have each color.
0,I love this series. The acting is fantastic. The plot lines twist and turn. I can't wait for the final season.
0,allow us to understand the maintenance and how to with what kind of tools be need to be fix a problem on vw passat
